t = 0.02; x1 = 0.761431; x2 = 0.0931585; flag = 2
t = 0.04; x1 = 0.656251; x2 = 0.0784447; flag = 2
t = 0.06; x1 = 0.567499; x2 = 0.0680847; flag = 2
t = 0.08; x1 = 0.493912; x2 = 0.0594781; flag = 2
t = 0.1; x1 = 0.432642; x2 = 0.0523225; flag = 2
t = 0.12; x1 = 0.381437; x2 = 0.0463137; flag = 2
t = 0.14; x1 = 0.338422; x2 = 0.0412521; flag = 2
t = 0.16; x1 = 0.302068; x2 = 0.0369877; flag = 2
t = 0.18; x1 = 0.271199; x2 = 0.0333408; flag = 2
t = 0.2; x1 = 0.244819; x2 = 0.0302131; flag = 2
t = 0.22; x1 = 0.222113; x2 = 0.0275347; flag = 2
t = 0.24; x1 = 0.202482; x2 = 0.0251938; flag = 2
t = 0.26; x1 = 0.185391; x2 = 0.0231465; flag = 2
t = 0.28; x1 = 0.170401; x2 = 0.0213667; flag = 2
t = 0.3; x1 = 0.15721; x2 = 0.0197772; flag = 2
t = 0.32; x1 = 0.145524; x2 = 0.0183616; flag = 2
t = 0.34; x1 = 0.135096; x2 = 0.0171146; flag = 2
t = 0.36; x1 = 0.125778; x2 = 0.0159776; flag = 2
t = 0.38; x1 = 0.1174; x2 = 0.0149488; flag = 2
t = 0.4; x1 = 0.109811; x2 = 0.0140351; flag = 2
Adams: 
t = 0.0002; x1 = 0.0467674; x2 = 0.95176; flag = 2
t = 0.0004; x1 = 0.0903754; x2 = 0.906701; flag = 2
t = 0.0006; x1 = 0.131011; x2 = 0.864639; flag = 2
t = 0.0008; x1 = 0.173943; x2 = 0.820117
t = 0.0588; x1 = 0.572603; x2 = 0.068681
t = 0.0608; x1 = 0.564519; x2 = 0.0677371
t = 0.0628; x1 = 0.556584; x2 = 0.0668105
t = 0.0648; x1 = 0.548796; x2 = 0.065901
t = 0.0668; x1 = 0.541153; x2 = 0.0650081
t = 0.0688; x1 = 0.53365; x2 = 0.0641316
t = 0.0708; x1 = 0.526285; x2 = 0.063271
t = 0.0728; x1 = 0.519055; x2 = 0.0624262
t = 0.0748; x1 = 0.511958; x2 = 0.0615967
t = 0.0768; x1 = 0.504991; x2 = 0.0607822
t = 0.0788; x1 = 0.49815; x2 = 0.0599825
t = 0.0808; x1 = 0.491435; x2 = 0.0591972
t = 0.0828; x1 = 0.484841; x2 = 0.0584261
t = 0.0848; x1 = 0.478367; x2 = 0.0576688
t = 0.0868; x1 = 0.47201; x2 = 0.0569251
t = 0.0888; x1 = 0.465768; x2 = 0.0561947
t = 0.0908; x1 = 0.459638; x2 = 0.0554773
t = 0.0928; x1 = 0.453618; x2 = 0.0547727
t = 0.0948; x1 = 0.447706; x2 = 0.0540806
t = 0.0968; x1 = 0.441899; x2 = 0.0534007
t = 0.0988; x1 = 0.436197; x2 = 0.0527329
t = 0.1008; x1 = 0.430595; x2 = 0.0520768
t = 0.1028; x1 = 0.425093; x2 = 0.0514323
t = 0.1048; x1 = 0.419688; x2 = 0.050799
t = 0.1068; x1 = 0.414379; x2 = 0.0501768
t = 0.1088; x1 = 0.409163; x2 = 0.0495654
t = 0.1108; x1 = 0.404038; x2 = 0.0489647
t = 0.1128; x1 = 0.399003; x2 = 0.0483743
t = 0.1148; x1 = 0.394056; x2 = 0.0477941
t = 0.1168; x1 = 0.389195; x2 = 0.047224
t = 0.1188; x1 = 0.384419; x2 = 0.0466636
t = 0.1208; x1 = 0.379725; x2 = 0.0461128
t = 0.1228; x1 = 0.375111; x2 = 0.0455714
t = 0.1248; x1 = 0.370578; x2 = 0.0450392
t = 0.1268; x1 = 0.366122; x2 = 0.044516
t = 0.1288; x1 = 0.361742; x2 = 0.0440017
t = 0.1308; x1 = 0.357437; x2 = 0.043496
t = 0.1328; x1 = 0.353205; x2 = 0.0429988
t = 0.1348; x1 = 0.349044; x2 = 0.04251
t = 0.1368; x1 = 0.344954; x2 = 0.0420293
t = 0.1388; x1 = 0.340932; x2 = 0.0415565
t = 0.1408; x1 = 0.336978; x2 = 0.0410916
t = 0.1428; x1 = 0.333091; x2 = 0.0406344
t = 0.1448; x1 = 0.329267; x2 = 0.0401847
t = 0.1468; x1 = 0.325508; x2 = 0.0397424
t = 0.1488; x1 = 0.32181; x2 = 0.0393073
t = 0.1508; x1 = 0.318174; x2 = 0.0388793
t = 0.1528; x1 = 0.314597; x2 = 0.0384582
t = 0.1548; x1 = 0.311079; x2 = 0.0380439
t = 0.1568; x1 = 0.307618; x2 = 0.0376363
t = 0.1588; x1 = 0.304214; x2 = 0.0372352
t = 0.1608; x1 = 0.300864; x2 = 0.0368406
t = 0.1628; x1 = 0.297569; x2 = 0.0364522
t = 0.1648; x1 = 0.294327; x2 = 0.03607
t = 0.1668; x1 = 0.291136; x2 = 0.0356938
t = 0.1688; x1 = 0.287997; x2 = 0.0353235
t = 0.1708; x1 = 0.284908; x2 = 0.0349591
t = 0.1728; x1 = 0.281867; x2 = 0.0346003
t = 0.1748; x1 = 0.278875; x2 = 0.0342471
t = 0.1768; x1 = 0.275929; x2 = 0.0338994
t = 0.1788; x1 = 0.27303; x2 = 0.033557
t = 0.1808; x1 = 0.270176; x2 = 0.0332199
t = 0.1828; x1 = 0.267367; x2 = 0.032888
t = 0.1848; x1 = 0.264601; x2 = 0.0325611
t = 0.1868; x1 = 0.261877; x2 = 0.0322392
t = 0.1888; x1 = 0.259196; x2 = 0.0319221
t = 0.1908; x1 = 0.256555; x2 = 0.0316098
t = 0.1928; x1 = 0.253955; x2 = 0.0313022
t = 0.1948; x1 = 0.251394; x2 = 0.0309992
t = 0.1968; x1 = 0.248872; x2 = 0.0307007
t = 0.1988; x1 = 0.246388; x2 = 0.0304066
t = 0.2008; x1 = 0.243941; x2 = 0.0301169
t = 0.2028; x1 = 0.241531; x2 = 0.0298314
t = 0.2048; x1 = 0.239157; x2 = 0.0295501
t = 0.2068; x1 = 0.236817; x2 = 0.0292728
t = 0.2088; x1 = 0.234513; x2 = 0.0289996
t = 0.2108; x1 = 0.232242; x2 = 0.0287303
t = 0.2128; x1 = 0.230004; x2 = 0.0284649
t = 0.2148; x1 = 0.227799; x2 = 0.0282033
t = 0.2168; x1 = 0.225626; x2 = 0.0279454
t = 0.2188; x1 = 0.223485; x2 = 0.0276911
t = 0.2208; x1 = 0.221374; x2 = 0.0274405
t = 0.2228; x1 = 0.219293; x2 = 0.0271933
t = 0.2248; x1 = 0.217243; x2 = 0.0269497
t = 0.2268; x1 = 0.215221; x2 = 0.0267094
t = 0.2288; x1 = 0.213228; x2 = 0.0264724
t = 0.2308; x1 = 0.211263; x2 = 0.0262387
t = 0.2328; x1 = 0.209325; x2 = 0.0260082
t = 0.2348; x1 = 0.207415; x2 = 0.0257809
t = 0.2368; x1 = 0.205531; x2 = 0.0255566
t = 0.2388; x1 = 0.203673; x2 = 0.0253354
t = 0.2408; x1 = 0.201841; x2 = 0.0251172
t = 0.2428; x1 = 0.200034; x2 = 0.0249019
t = 0.2448; x1 = 0.198251; x2 = 0.0246895
t = 0.2468; x1 = 0.196493; x2 = 0.0244799
t = 0.2488; x1 = 0.194759; x2 = 0.024273
t = 0.2508; x1 = 0.193048; x2 = 0.0240689
t = 0.2528; x1 = 0.19136; x2 = 0.0238675
t = 0.2548; x1 = 0.189694; x2 = 0.0236687
t = 0.2568; x1 = 0.188051; x2 = 0.0234725
t = 0.2588; x1 = 0.186429; x2 = 0.0232788
t = 0.2608; x1 = 0.184829; x2 = 0.0230876
t = 0.2628; x1 = 0.18325; x2 = 0.0228989
t = 0.2648; x1 = 0.181691; x2 = 0.0227125
t = 0.2668; x1 = 0.180153; x2 = 0.0225286
t = 0.2688; x1 = 0.178634; x2 = 0.0223469
t = 0.2708; x1 = 0.177136; x2 = 0.0221675
t = 0.2728; x1 = 0.175656; x2 = 0.0219904
t = 0.2748; x1 = 0.174195; x2 = 0.0218155
t = 0.2768; x1 = 0.172753; x2 = 0.0216427
t = 0.2788; x1 = 0.171329; x2 = 0.0214721
t = 0.2808; x1 = 0.169923; x2 = 0.0213036
t = 0.2828; x1 = 0.168535; x2 = 0.0211371
t = 0.2848; x1 = 0.167164; x2 = 0.0209727
t = 0.2868; x1 = 0.16581; x2 = 0.0208102
t = 0.2888; x1 = 0.164473; x2 = 0.0206497
t = 0.2908; x1 = 0.163153; x2 = 0.0204912
t = 0.2928; x1 = 0.161848; x2 = 0.0203345
t = 0.2948; x1 = 0.16056; x2 = 0.0201797
t = 0.2968; x1 = 0.159287; x2 = 0.0200267
t = 0.2988; x1 = 0.158029; x2 = 0.0198755
t = 0.3008; x1 = 0.156787; x2 = 0.0197261
t = 0.3028; x1 = 0.15556; x2 = 0.0195784
t = 0.3048; x1 = 0.154347; x2 = 0.0194324
t = 0.3068; x1 = 0.153149; x2 = 0.0192881
t = 0.3088; x1 = 0.151965; x2 = 0.0191455
t = 0.3108; x1 = 0.150795; x2 = 0.0190045
t = 0.3128; x1 = 0.149638; x2 = 0.0188652
t = 0.3148; x1 = 0.148495; x2 = 0.0187274
t = 0.3168; x1 = 0.147366; x2 = 0.0185911
t = 0.3188; x1 = 0.146249; x2 = 0.0184564
t = 0.3208; x1 = 0.145145; x2 = 0.0183232
t = 0.3228; x1 = 0.144054; x2 = 0.0181914
t = 0.3248; x1 = 0.142976; x2 = 0.0180612
t = 0.3268; x1 = 0.141909; x2 = 0.0179323
t = 0.3288; x1 = 0.140855; x2 = 0.0178049
t = 0.3308; x1 = 0.139813; x2 = 0.0176789
t = 0.3328; x1 = 0.138782; x2 = 0.0175542
t = 0.3348; x1 = 0.137763; x2 = 0.0174309
t = 0.3368; x1 = 0.136755; x2 = 0.0173089
t = 0.3388; x1 = 0.135759; x2 = 0.0171882
t = 0.3408; x1 = 0.134773; x2 = 0.0170688
t = 0.3428; x1 = 0.133798; x2 = 0.0169507
t = 0.3448; x1 = 0.132834; x2 = 0.0168338
t = 0.3468; x1 = 0.131881; x2 = 0.0167182
t = 0.3488; x1 = 0.130937; x2 = 0.0166038
t = 0.3508; x1 = 0.130004; x2 = 0.0164905
t = 0.3528; x1 = 0.129081; x2 = 0.0163785
t = 0.3548; x1 = 0.128168; x2 = 0.0162676
t = 0.3568; x1 = 0.127264; x2 = 0.0161578
t = 0.3588; x1 = 0.12637; x2 = 0.0160492
t = 0.3608; x1 = 0.125486; x2 = 0.0159416
t = 0.3628; x1 = 0.124611; x2 = 0.0158352
t = 0.3648; x1 = 0.123745; x2 = 0.0157298
t = 0.3668; x1 = 0.122888; x2 = 0.0156255
t = 0.3688; x1 = 0.12204; x2 = 0.0155223
t = 0.3708; x1 = 0.121201; x2 = 0.0154201
t = 0.3728; x1 = 0.12037; x2 = 0.0153188
t = 0.3748; x1 = 0.119548; x2 = 0.0152186
t = 0.3768; x1 = 0.118734; x2 = 0.0151194
t = 0.3788; x1 = 0.117929; x2 = 0.0150212
t = 0.3808; x1 = 0.117131; x2 = 0.0149239
t = 0.3828; x1 = 0.116342; x2 = 0.0148275
t = 0.3848; x1 = 0.115561; x2 = 0.0147321
t = 0.3868; x1 = 0.114787; x2 = 0.0146376
t = 0.3888; x1 = 0.114021; x2 = 0.0145441
t = 0.3908; x1 = 0.113263; x2 = 0.0144514
t = 0.3928; x1 = 0.112512; x2 = 0.0143596
t = 0.3948; x1 = 0.111769; x2 = 0.0142686
t = 0.3968; x1 = 0.111033; x2 = 0.0141785
t = 0.3988; x1 = 0.110304; x2 = 0.0140893
